timestamp,Vb,Vs,Is,P,Ph
1,12.17,0.0009,0.0092,0.1125,0.1125
103,12.17,0.0009,0.0092,0.1125,11.475
206,12.17,0.0009,0.0092,0.1125,11.5875
308,12.17,0.0009,0.0092,0.1125,11.475
411,12.17,0.0009,0.0092,0.1125,11.5875
513,12.17,0.0009,0.0092,0.1125,11.475
615,12.17,0.0009,0.0092,0.1125,11.475
718,12.17,0.0009,0.0092,0.1125,11.5875
820,12.17,0.0009,0.0092,0.1125,11.475
923,12.17,0.0009,0.0092,0.1125,11.5875
1025,12.17,0.0009,0.0092,0.1125,11.475
1128,12.17,0.0009,0.0092,0.1125,11.5875
1231,12.17,0.0009,0.0092,0.1125,11.5875
1333,12.17,0.0009,0.0092,0.1125,11.475
1436,12.17,0.0009,0.0092,0.1125,11.5875
1539,12.17,0.0009,0.0092,0.1125,11.5875
1642,12.17,0.0009,0.0092,0.1125,11.5875
1744,12.17,0.0009,0.0092,0.1125,11.475
1847,12.17,0.0009,0.0092,0.1125,11.5875
1950,12.17,0.0009,0.0092,0.1125,11.5875
2052,12.17,0.0009,0.0092,0.1125,11.475
2155,12.17,0.0009,0.0092,0.1125,11.5875
2258,12.17,0.0009,0.0092,0.1125,11.5875
2360,12.17,0.0009,0.0092,0.1125,11.475
2463,12.17,0.0009,0.0092,0.1125,11.5875
2566,12.17,0.0009,0.0092,0.1125,11.5875
2668,12.17,0.0009,0.0092,0.1125,11.475
2771,12.17,0.0009,0.0092,0.1125,11.5875
2874,12.17,0.0009,0.0092,0.1125,11.5875
2977,12.17,0.0009,0.0092,0.1125,11.5875
3079,12.17,0.0009,0.0092,0.1125,11.475
3182,12.17,0.0009,0.0092,0.1125,11.5875
3285,12.17,0.0009,0.0092,0.1125,11.5875
3387,12.17,0.0009,0.0092,0.1125,11.475
3490,12.17,0.0009,0.0092,0.1125,11.5875
3593,12.17,0.0009,0.0092,0.1125,11.5875
3695,12.17,0.0009,0.0092,0.1125,11.475
3798,12.17,0.0009,0.0092,0.1125,11.5875
3901,12.1688,0.0011,0.0108,0.1325,13.6475
4004,12.17,0.0009,0.0092,0.1125,11.5875
4106,12.17,0.0009,0.0092,0.1125,11.475
4209,12.17,0.0009,0.0092,0.1125,11.5875
4312,12.17,0.0009,0.0092,0.1125,11.5875
4414,12.17,0.0009,0.0092,0.1125,11.475
4517,12.17,0.0009,0.0092,0.1125,11.5875
4620,12.17,0.0009,0.0092,0.1125,11.5875
4723,12.17,0.0009,0.0092,0.1125,11.5875
4826,12.17,0.0009,0.0092,0.1125,11.5875
4929,12.17,0.0009,0.0092,0.1125,11.5875
5032,12.17,0.0009,0.0092,0.1125,11.5875
5135,12.17,0.0009,0.0092,0.1125,11.5875
5238,12.17,0.0009,0.0092,0.1125,11.5875
5341,12.17,0.0009,0.0091,0.11,11.33
5444,12.17,0.0009,0.0091,0.11,11.33
5547,12.17,0.0009,0.0091,0.11,11.33
5650,12.17,0.0009,0.0091,0.11,11.33
5753,12.17,0.0009,0.009,0.11,11.33
5856,12.17,0.0009,0.0091,0.11,11.33
5959,12.17,0.0009,0.0091,0.11,11.33
6062,12.17,0.0009,0.009,0.11,11.33
6165,12.17,0.0009,0.009,0.11,11.33
6268,12.17,0.0009,0.009,0.11,11.33
6371,12.17,0.0009,0.009,0.11,11.33
6474,12.17,0.0009,0.0091,0.11,11.33
6577,12.17,0.0009,0.0092,0.1125,11.5875
6680,12.17,0.0009,0.0093,0.1125,11.5875
6783,12.17,0.0009,0.0093,0.1125,11.5875
6886,12.17,0.0009,0.0092,0.1125,11.5875
6989,12.17,0.0009,0.0092,0.1125,11.5875
7092,12.17,0.0009,0.0092,0.1125,11.5875
7195,12.17,0.0009,0.0093,0.1125,11.5875
7298,12.17,0.0009,0.0093,0.1125,11.5875
7401,12.17,0.0009,0.0093,0.1125,11.5875
7504,12.17,0.0009,0.0093,0.115,11.845
7607,12.17,0.0009,0.0093,0.115,11.845
7709,12.17,0.0009,0.0094,0.115,11.73
7812,12.17,0.0009,0.0094,0.115,11.845
7915,12.17,0.0009,0.0094,0.115,11.845
8018,12.17,0.0009,0.0093,0.115,11.845
8121,12.17,0.0009,0.0094,0.115,11.845
8224,12.17,0.0009,0.0094,0.115,11.845
8327,12.17,0.0009,0.0093,0.115,11.845
8430,12.17,0.0009,0.0093,0.1125,11.5875
8533,12.17,0.0009,0.0093,0.1125,11.5875
8636,12.17,0.0009,0.0093,0.115,11.845
8739,12.1688,0.0011,0.0108,0.1325,13.6475
8842,12.1688,0.0011,0.0105,0.1275,13.1325
8945,12.17,0.001,0.0101,0.1225,12.6175
9048,12.17,0.001,0.0096,0.12,12.36
9151,12.17,0.001,0.0095,0.1175,12.1025
9254,12.17,0.0009,0.0094,0.115,11.845
9357,12.1688,0.0012,0.0116,0.1425,14.6775
9460,12.1688,0.0012,0.0123,0.15,15.45
9563,12.17,0.0009,0.0092,0.11,11.33
9666,12.17,0.0009,0.0091,0.11,11.33
9769,12.17,0.0009,0.0091,0.1125,11.5875
9872,12.17,0.0009,0.0092,0.1125,11.5875
9975,12.17,0.0009,0.0086,0.105,10.815
