timestamp,Vb,Vs,Is,P,Ph
12445,12.1563,0.004,0.04,0.4875,50.2125
12548,12.1563,0.0042,0.0417,0.5075,52.2725
12651,12.15,0.0055,0.0551,0.67,69.01
12754,12.15,0.0057,0.0565,0.6875,70.8125
12857,12.1513,0.0052,0.052,0.6325,65.1475
12960,12.1525,0.0051,0.0511,0.62,63.86
13063,12.1525,0.0049,0.0491,0.5975,61.5425
13166,12.1525,0.0048,0.0481,0.585,60.255
13269,12.1525,0.0048,0.0482,0.585,60.255
13372,12.1525,0.0048,0.0481,0.585,60.255
13475,12.1538,0.0048,0.0481,0.585,60.255
13578,12.1525,0.0048,0.0481,0.585,60.255
13681,12.1587,0.0036,0.0356,0.4325,44.5475
13784,12.1613,0.003,0.0301,0.365,37.595
13887,12.1613,0.0029,0.0295,0.3575,36.8225
13990,12.1613,0.0029,0.0295,0.3575,36.8225
14093,12.1613,0.0029,0.0294,0.3575,36.8225
14196,12.1613,0.003,0.0302,0.3675,37.8525
14299,12.16,0.0033,0.0325,0.395,40.685
14402,12.16,0.0032,0.0325,0.395,40.685
14505,12.1613,0.003,0.0299,0.3625,37.3375
14607,12.1613,0.0029,0.0294,0.3575,36.465
14710,12.1613,0.0029,0.0294,0.3575,36.8225
14813,12.1613,0.0029,0.0295,0.3575,36.8225
14915,12.1613,0.0029,0.0295,0.3575,36.465
15018,12.1613,0.0029,0.0294,0.3575,36.8225
15121,12.1613,0.0029,0.0295,0.3575,36.8225
15224,12.1613,0.0029,0.0294,0.3575,36.8225
15326,12.1613,0.0029,0.0295,0.3575,36.465
15429,12.1613,0.0029,0.0294,0.3575,36.8225
15532,12.1613,0.0029,0.0295,0.3575,36.8225
15634,12.16,0.0031,0.0307,0.3725,37.995
15737,12.16,0.0032,0.0325,0.395,40.685
15840,12.1587,0.0036,0.0363,0.4425,45.5775
15943,12.1575,0.0038,0.0384,0.4675,48.1525
16045,12.1575,0.0038,0.0384,0.4675,47.685
16148,12.1575,0.0038,0.0385,0.4675,48.1525
16251,12.1575,0.0038,0.0385,0.4675,48.1525
16353,12.1575,0.004,0.0395,0.48,48.96
16456,12.1563,0.0041,0.0406,0.495,50.985
16559,12.1563,0.0041,0.0407,0.495,50.985
16661,12.1563,0.0041,0.0407,0.495,50.49
16764,12.1525,0.0049,0.0489,0.595,61.285
16867,12.1487,0.0058,0.0575,0.7,72.1
16970,12.15,0.0055,0.055,0.6675,68.7525
17072,12.1525,0.0051,0.0506,0.615,62.73
17175,12.1513,0.0052,0.0518,0.63,64.89
17278,12.1525,0.0051,0.051,0.62,63.86
17380,12.1525,0.0049,0.0488,0.5925,60.435
17483,12.1525,0.0049,0.0488,0.5925,61.0275
17586,12.1525,0.0049,0.0488,0.5925,61.0275
17689,12.1525,0.0049,0.0488,0.5925,61.0275
17792,12.1525,0.0049,0.0488,0.5925,61.0275
17895,12.1525,0.0049,0.0488,0.5925,61.0275
17998,12.1525,0.0049,0.048,0.5825,59.9975
18101,12.1538,0.0046,0.0456,0.555,57.165
18204,12.1538,0.0045,0.045,0.5475,56.3925
18307,12.1538,0.0045,0.0453,0.5525,56.9075
