timestamp,Vb,Vs,Is,P,Ph
13193,12.1662,0.0008,0.0085,0.1025,10.7625
13298,12.1662,0.0008,0.0084,0.1025,10.7625
13402,12.1662,0.0008,0.0082,0.1,10.4
13507,12.1662,0.0008,0.0082,0.1,10.5
13612,12.1662,0.0008,0.0084,0.1025,10.7625
13716,12.1662,0.001,0.0101,0.1225,12.74
13821,12.16,0.0025,0.0251,0.305,32.025
13926,12.1587,0.0026,0.0262,0.32,33.6
14030,12.16,0.0023,0.0229,0.2775,28.86
14135,12.16,0.0023,0.0227,0.275,28.875
14240,12.16,0.0023,0.0228,0.2775,29.1375
14345,12.16,0.0023,0.0226,0.275,28.875
14449,12.16,0.0022,0.0224,0.2725,28.34
14554,12.16,0.0023,0.0226,0.275,28.875
14659,12.16,0.0023,0.0228,0.2775,29.1375
14763,12.16,0.0023,0.0228,0.2775,28.86
14868,12.16,0.0023,0.0227,0.275,28.875
14973,12.16,0.0023,0.0229,0.2775,29.1375
15078,12.16,0.0023,0.0231,0.28,29.4
15182,12.16,0.0023,0.0229,0.2775,28.86
15287,12.1587,0.0025,0.025,0.305,32.025
15392,12.16,0.0025,0.0248,0.3025,31.7625
15497,12.16,0.0023,0.0227,0.275,28.875
15601,12.16,0.0023,0.0227,0.275,28.6
15706,12.16,0.0023,0.0227,0.275,28.875
15811,12.1613,0.0022,0.0216,0.2625,27.5625
15915,12.1625,0.0019,0.0186,0.225,23.4
16020,12.1625,0.0019,0.0188,0.2275,23.8875
16125,12.1625,0.0019,0.0186,0.225,23.625
16229,12.1625,0.0019,0.0188,0.2275,23.66
16334,12.1625,0.0019,0.0187,0.2275,23.8875
16439,12.1625,0.0019,0.0188,0.2275,23.8875
16543,12.1625,0.0019,0.0187,0.2275,23.66
16648,12.1613,0.0021,0.0211,0.2575,27.0375
16753,12.1613,0.0021,0.0214,0.26,27.3
16858,12.1575,0.0029,0.0293,0.355,37.275
16962,12.1525,0.0042,0.0417,0.5075,52.78
17067,12.1525,0.004,0.0404,0.49,51.45
17172,12.1525,0.004,0.0403,0.49,51.45
17276,12.1525,0.004,0.0404,0.49,50.96
17381,12.1525,0.004,0.0403,0.49,51.45
17486,12.1525,0.0042,0.0425,0.515,54.075
17590,12.1525,0.0042,0.0424,0.515,53.56
17695,12.1513,0.0042,0.0424,0.515,54.075
17800,12.1513,0.0044,0.0442,0.5375,56.4375
17904,12.1463,0.0057,0.0574,0.6975,72.54
18009,12.1475,0.0055,0.0546,0.6625,69.5625
18114,12.1475,0.0054,0.0544,0.66,69.3
18218,12.1475,0.0054,0.0535,0.65,67.6
18323,12.1475,0.0052,0.0516,0.6275,65.8875
18428,12.1487,0.0051,0.0505,0.615,64.575
18532,12.1487,0.0051,0.0506,0.615,63.96
18637,12.1487,0.005,0.0505,0.6125,64.3125
18742,12.1487,0.0051,0.0506,0.615,64.575
18847,12.1538,0.0038,0.0382,0.465,48.825
18951,12.1563,0.0033,0.033,0.4025,41.86
19056,12.1563,0.0033,0.0326,0.395,41.475
19161,12.1563,0.0032,0.0321,0.39,40.95
19266,12.1563,0.0032,0.0319,0.3875,40.6875
19370,12.1563,0.0032,0.032,0.39,40.56
19475,12.1563,0.0033,0.0326,0.395,41.475
19580,12.155,0.0035,0.035,0.425,44.625
19684,12.155,0.0032,0.0324,0.3925,40.82
19789,12.1563,0.0032,0.032,0.39,40.95
19894,12.1563,0.0032,0.032,0.3875,40.6875
19998,12.1563,0.0032,0.0319,0.3875,40.3
20103,12.1563,0.0032,0.032,0.39,40.95
20208,12.1563,0.0032,0.0319,0.3875,40.6875
20313,12.1563,0.0032,0.032,0.39,40.95
